Average error for the FlowHandlers: 244.444FlowHandler				Est			Actual
159.178.108.111		10658		9848
159.178.112.71		10391		7315
104.17.183.118		9950		9956
104.154.198.228		9865		9835
159.178.237.53		9685		9681
70.187.95.95		9523		9510
159.178.129.112		9467		7011
52.84.76.175		9236		9450
187.237.14.200		9117		9747
73.224.76.160		9060		6946
88.231.33.95		8968		8968
73.224.42.241		8899		8910
159.178.107.44		8710		8698
104.92.17.82		8653		8390
54.230.161.109		8651		8673
157.55.39.140		8599		8058
216.52.195.182		8584		8584
159.178.102.100		8566		8733
23.202.88.31		8504		8462
165.215.209.15		8470		8982
96.7.182.150		8384		8364
69.252.101.144		8334		7763
128.227.112.222		8189		7904
8.27.160.227		8146		7272
104.16.89.188		7899		7867
103.26.37.253		7781		9324
138.108.6.50		7760		522
149.169.208.76		7698		8030
66.249.64.14		7692		7701
34.206.148.175		7628		7485
156.154.65.196		7616		7597
157.240.11.22		7616		3682
159.178.137.117		7586		7581
71.6.146.185		7386		6808
192.210.199.106		7372		7374
63.251.240.12		7362		7380
68.64.22.136		7340		7262
174.70.89.126		7308		7291
152.232.196.200		7308		2
91.198.117.247		7286		7394
120.239.64.18		7118		7122
172.217.8.80		7067		7187
159.178.115.102		7067		7063
98.18.16.218		7046		6944
159.178.129.91		6773		6783
69.63.188.102		6757		237
98.18.150.191		6714		6714
59.45.175.56		6656		5172
198.245.89.70		6600		6296
159.178.108.48		6517		6501
188.184.36.52		6490		4904
112.198.103.2		6421		6652
198.102.61.236		6388		5752
209.112.113.33		6249		6487
159.178.100.82		6161		6058
40.76.218.33		6096		5386
54.192.205.183		6079		6537
95.101.36.67		6048		6666
159.178.119.40		5971		6164
159.178.100.162		5953		6392
178.33.214.223		5946		5946
159.178.100.84		5924		5867
186.77.248.162		5924		1646
207.46.13.156		5892		5892
159.178.100.33		5890		5996
66.231.139.112		5855		5862
117.193.16.91		5763		3
204.74.115.1		5699		5681
54.68.252.100		5694		436
184.50.26.236		5694		5254
66.87.114.206		5688		5722
159.178.109.180		5665		5744
216.137.41.234		5567		3826
69.172.201.238		5556		5690
104.92.16.146		5532		5571
54.192.205.60		5527		5543
99.166.162.58		5518		5530
171.161.207.200		5514		6136
149.111.148.27		5494		5421
167.68.20.174		5437		5423
197.1.126.97		5433		2
128.227.220.36		5427		5525
199.204.59.137		5422		5472
181.196.219.72		5419		2
64.50.185.67		5416		4
23.15.61.170		5416		5396
35.190.151.98		5405		5524
198.103.206.37		5405		4
205.251.198.66		5324		876
118.120.52.156		5263		2
107.77.218.214		5260		5254
24.236.111.9		5226		5216
78.183.30.242		5173		7
216.200.96.194		5173		5168
96.7.49.194		5141		5139
216.58.219.67		5139		5122
110.78.148.152		5117		5
212.227.17.4		5117		5356
209.73.179.8		5108		5108
128.227.236.254		5094		5102
