Average error among all FlowHandlers: 125.0599
FlowHandler				Est			Actual
159.178.237.53		10477		9681
104.154.198.228		10167		9835
104.17.183.118		9999		9956
159.178.108.111		9855		9848
187.237.14.200		9768		9747
70.187.95.95		9522		9510
52.84.76.175		9452		9450
69.252.101.144		9426		7763
103.26.37.253		9324		9324
165.215.209.15		8995		8982
88.231.33.95		8978		8968
73.224.42.241		8944		8910
54.230.161.109		8824		8673
159.178.102.100		8733		8733
216.52.195.182		8733		8584
159.178.107.44		8700		8698
23.202.88.31		8638		8462
104.92.17.82		8394		8390
96.7.182.150		8364		8364
149.169.208.76		8235		8030
157.55.39.140		8114		8058
128.227.112.222		7929		7904
104.16.89.188		7882		7867
66.249.64.14		7713		7701
156.154.65.196		7678		7597
159.178.137.117		7660		7581
98.18.150.191		7520		6714
34.206.148.175		7508		7485
159.178.100.84		7465		5867
174.70.89.126		7414		7291
91.198.117.247		7396		7394
192.210.199.106		7390		7374
63.251.240.12		7382		7380
159.178.112.71		7319		7315
8.27.160.227		7306		7272
68.64.22.136		7289		7262
159.178.115.102		7286		7063
209.112.113.33		7218		6487
172.217.8.80		7209		7187
120.239.64.18		7126		7122
73.224.76.160		7121		6946
159.178.129.112		7041		7011
98.18.16.218		6963		6944
112.198.103.2		6886		6652
95.101.36.67		6837		6666
71.6.146.185		6821		6808
159.178.129.91		6787		6783
54.192.205.183		6601		6537
159.178.108.48		6524		6501
159.178.100.162		6392		6392
198.245.89.70		6304		6296
128.227.236.254		6229		5102
159.178.119.40		6176		6164
171.161.207.200		6174		6136
159.178.100.82		6111		6058
66.231.139.112		6051		5862
207.46.13.156		6046		5892
159.178.100.33		6016		5996
178.33.214.223		5964		5946
69.241.99.178		5938		4769
216.58.219.67		5903		5122
159.178.32.133		5894		5890
198.102.61.236		5806		5752
35.190.151.98		5803		5524
159.178.109.180		5746		5744
66.87.114.206		5722		5722
69.172.201.238		5714		5690
128.227.111.65		5705		4878
204.74.115.1		5681		5681
104.92.16.146		5625		5571
128.227.220.36		5612		5525
149.111.148.27		5595		5421
199.204.59.137		5595		5472
59.45.175.56		5586		5172
54.192.205.60		5559		5543
184.50.26.236		5542		5254
99.166.162.58		5540		5530
40.76.218.33		5486		5386
170.146.96.193		5482		4926
167.68.20.174		5481		5423
23.15.61.170		5408		5396
107.77.220.66		5378		4836
159.178.108.184		5370		5038
212.227.17.4		5356		5356
107.77.218.214		5274		5254
24.236.111.9		5225		5216
216.200.96.194		5168		5168
96.7.49.194		5154		5139
209.73.179.8		5118		5108
128.227.71.18		5065		4926
208.80.124.2		5060		5001
54.67.57.25		5043		4848
188.184.36.52		5038		4904
159.178.96.156		5015		4992
209.17.68.129		5010		116
104.92.12.53		5007		5000
208.80.125.4		4976		4966
104.17.8.41		4945		4932
189.230.4.234		4758		4676
159.178.100.234		4736		4717
